full_text,sentiment,confidence,full_text_length
proses naturalisasi jordi setop shin tae yong masuk akal korban,neutral,73.22%,108
indonesia tidak naturalisasi kaya ambil uji tctrial timnas kalo emang kualitas masuk timnas kalo tidak ya proses klub,negative,87.69%,172
bukan maksud patah semangat hasil timnas u bom proyeksi untu wc u shin tae yong cari bibit unggul ssb indonesia naturalisasi pilih pemain seleksi ketat,positive,64.93%,247
pikir pemain naturalisasi indonesia dasar serah kejar mimpi bela timnas asli,negative,96.37%,144
arnold van der vin pemain naturalisasi timnas indonesia,neutral,99.70%,72
jordi sandy walsh peluang bela timnas indonesia fifa matchday september naturalisasi kelar,neutral,99.46%,122
kali gelandang naturalisasi andal timnas indonesia marc klok model rilis kali tidak tinggal logo garuda latar tameng warna hitam tulis indonesia dada belah kiri,neutral,85.56%,216
latih timnas indonesia shin tae yong pssi lanjut proses naturalisasi jordi,neutral,99.63%,107
satu sepakbola indonesia pssi putus lanjut proses naturalisasi calon pemain timnas indonesia jordi,neutral,99.63%,138
pemain naturalisasi timnas indonesia sandy walsh asa isi jeroan timnas turut pemain berbakart skuat garuda,neutral,98.35%,148
jakarta shin tae yong kirim pesan khusus naturalisasi jordi surat resmi pssi latih kepala timnas indonesia,neutral,99.78%,131
indonesia tidak kembang sepak bola pemain naturalisasi main bagus tidak panggil timnas,negative,99.19%,137
butuh timnas indonesia shin tae yong naturalisasi jordi,neutral,99.80%,84
proses naturalisasi jordi jalan lengkap,neutral,95.73%,74
latih timnas indonesia shin tae yong surat ketua pssi mochamad iriawan lanjut naturalisasi jordi main malaysia johor darul tazim jdt,neutral,99.61%,181
pemain naturalisasi gagal total timnas indonesia sandung,neutral,91.83%,82
pemain naturalisasi gagal total timnas indonesia,neutral,63.22%,61
weh moh salah naturalisasi timnas indonesia kah,negative,98.83%,47
alas timnas indonesia turun pemain naturalisasi amerika,neutral,99.62%,69
respons shin tae yong lanjut naturalisasi pemain turun timnas indonesia u belanda,neutral,99.75%,107
ya sayang naturalisasi jalur khusus jangka pendek timnas ujung kek udah tidak kepake timnas nguntungin oknum oknum klub asean indonesia lebih sdm kalo rekrut orang asing wni spesial,negative,93.89%,265
let s move on paspor indonesia jordi will not make your life miserable unless you have no life paspor indonesia jordi guna timnas banding naturalisasi pemain asing klub indonesia,positive,59.65%,238
periode tsb greg victor ya klub kpsi indonesia rujuk kpsi pssi dibanned fifa bio paulin naturalisasi fano naturalisasi timnas lewat kualifikasi pildun,negative,91.97%,275
naturalisasi bukan timnas jangan gelagepan syaiful kocak bener dah orang bawa indonesia runner up aff lolos asi cup yaa pemain naturalisasi,positive,85.59%,216
naturalisasi emng nya main jdt fungsi naturalisasi nya main timnas mana klub main naturalisasi main liga indonesia,negative,50.69%,205
org indonesia asli tidak laku model baju timnas udah ambil org buleketua pssinya bule model org bule entar jual timnas org asing embel naturalisasi,negative,99.68%,196
akun ngaku cinta sepakbola indonesia n petisi batal naturalisasi bgst banget yachga relasi gabung club dg timnas biar biasa main dg pemain asia lawan timnas kualifikasi regional,negative,67.73%,261
setuju krna si jordi naturalisasi biar gabung jdt malaysia ngincer gaji gede bodo timnas indonesia,negative,99.52%,134
indonesia timnas kembang berani ambil latih luis milla shin tae yong naturalisasi bukti nyata lolos piala asia ya kalo maksimal ditingkatin liga nya klub benah fasilitas,positive,77.83%,269
gara gara akun bola so nasionalis mikir sisi doang ujung anggota dpr tidak kontribusi timnas indonesia bahas bahas naturalisasi indonesia so tau gua gedeg banget dah,negative,98.73%,240
pemain naturalisasi bachdim lilipaly main liga indonesia amp skill amp performa sbg dasar pilih latih layak masuk timnas tidak bukan dasar main liga,positive,64.06%,234
tidak tidur tulis amat sepakbola naturalisasi jordi fans timnas malaysia amp indonesia silah baca,neutral,96.01%,137
indra sjafri jordi bilang salah,negative,73.32%,81
orang main klub malaysia injak injak harga indonesia diinjek mana orang naturalisasi ngarti tuju naturalisasi istimewa main timnas bukan atur atur pemain naturalisasi main klub nya kampung bos,negative,98.25%,266
naturalisasi penting timnas tidak ubah fakta jordi main timnas indonesia main jdt pemain asean ya hak warga negara indonesia wni tidak anggap pemain asean tolol,negative,99.72%,238
jordi salah calon pemain naturalisasi timnas indonesia buah bibir berita media,neutral,98.95%,108
publik indonesia marah tuju naturalisasi timnas milik pemain starter eropa shin tae yong proyeksi tahan eropa jordi menep rumor jdt,neutral,50.47%,255
kalo opini nya dlm proses naturalisasi wni nya main eropa main asean malaysia pro amp kontra nya main timnas indonesia sepenuh tanggung coach shin tae yong,negative,66.62%,288
bukan takut malaysia bukan point point naturalisasi jordi untung pemain malaysia pemain malaysia jdt untung latih main jordi ketimbang pemain timnas indonesia,positive,99.17%,273
timnas indonesia yakin rugi naturalisasi jordi tidak sih,negative,97.57%,89
pemain naturalisasi timnas indonesia jordi gabung klub kaya raya malaysia johor darul tazim jdt,neutral,99.38%,110
tuju naturalisasi menaikkaan level main sepakbola indonesia goblok inti naturalisasi biar main level timnas tari timnas duluan bukan jordi yagn ngemis gausah bawa asa profesional dikit otak dipake,negative,97.46%,268
bukan point momentnya orang mikir jordi dapet paspor indonesia main jdt alias cuan tidak naturalisasi penting timnas penting pribadi klub,negative,93.65%,243
anggota komite eksekutif exco pssi hasan abdulgani tidak penuh tuntut netizen setop proses naturalisasi jordi kecuali latih timnas indonesia shin tae yong lengkap,neutral,98.25%,216
ya naturalisasi emang penting timnas bang salah mana kalo main jdt kalo udah naturalisasi banget main liga indonesia gitu oh iya pikir smart ya,positive,92.78%,185
harap naturalisasi bakat bakat dunia bantu timnas proyek manfaat penting pribadi tentang pesan jangan coba coba main proyek doa rakyat indonesia,negative,98.52%,252
jdt pasti rekrut calon pemain naturalisasi timnas indonesia jordi,neutral,99.72%,73
timnas indonesia yakni rugi naturalisasi jordi tidak sih,negative,98.74%,88
klub malaysia johor darul tazim klaim calon pemain naturalisasi timnas indonesia jordi,neutral,99.65%,113
gamungkin bg komponen pssi ibul harapin pemain naturalisasi cepat dpr pasti tidak peduli doi main liga asean kecuali dpr peduli timnas indonesia ya jordi doang d batalin,negative,96.84%,283
putra mahkota johor bos klub kaya raya malaysia tun ismail idris alias tmj calon pemain naturalisasi timnas indonesia jordi gabung jdt musim,neutral,97.80%,198
salah moment jordi manfaatin paspor indonesia penting pribadi orang anti pemain turun getol klaim proyek naturalisasi tidak murni penting timnas,negative,99.35%,207
putra mahkota johor bos johor darul tazim jdt tun ismail idris alias tmj jordi gabung tim musim tunggu perintah indonesia paspor calon pemain naturalisasi timnas indonesia,neutral,97.19%,271
gin ya netijen maha budiman situ ngomong gin dampak timnas banyak pemain naturalisasi inget suka naturalisasi klub bukan nambah kuota pemain asing timnas elkan milih warga negara indonesia bukan,negative,98.93%,276
pemain homegrown liga inggris main timnas indonesia tidak passpor indonesia proses naturalisasi tidak proses tidak tuju federasi perintah,neutral,60.52%,270
jordi harap pemain naturalisasi bawa shin tae yong timnas indonesia main eropa harap naik mental alam naik level timnas beda pola pikir main dieropa,positive,54.96%,267
iya bener gin jadi haha turun darah indonesia hak bela negara wkwk lho pemain liga tolak program naturalisasi kuat timnas haha,negative,97.10%,218
breaking calon pemain naturalisasi indonesia jordi cb sepakat gabung jdt free transfer jdt bawa pemain timnas malaysia dion cools cb rb kontrak midtjylland,neutral,98.83%,230
maldini pemain naturalisasi main timnas u indonesia,neutral,99.61%,76
laga gitu timnas indonesia pakai full naturalisasi,neutral,75.52%,71
prediksi susun pemain timnas indonesia fifa matchday pemain naturalisasi main,neutral,99.55%,87
shin tae yong pegang nasib calon pemain naturalisasi timnas u indonesia,neutral,99.74%,71
cinta bola sus timnas indonesia mohon pemain rekomendasi shin tae yong naturalisasi cepat selesai senior junior biar laksana timnas indonesia senior junior juara ber prestasi,positive,96.68%,277
pemain naturalisasi bantu timnas indonesia bintang asia,neutral,96.99%,78
marc klok resmi transformasi nomor punggung persib bandung pemain naturalisasi timnas indonesia emban nomor,neutral,98.11%,148
pemain naturalisasi bantu timnas indonesia bintang asia nomor main liga spanyol,neutral,87.73%,104
lawan tim naturalisasi tim naturalisasi indonesia timnas,negative,72.72%,85
calon pemain naturalisasi timnas indonesia nihhh,neutral,51.03%,48
jordi amatsandi wals shayne patiyama resin naturalisasi cepat bela timnas indonesia,neutral,98.56%,106
jangan sombong komentar nya sopan santun jangan singgung remeh timnas indonesia timnas indonesia bangga rakyat indonesia klw tidak anak nya emil audero naturalisasi pssijawab komentar sopan santun,positive,75.36%,269
eksklusif beda pemain naturalisasi lokal timnas indonesia mata shin tae yong,neutral,99.00%,91
warga turun indonesia laga eropa bela timnas indonesia piala dunia u klw cepat naturalisasi wni,neutral,94.96%,152
timnas senior indonesia lolos kualifikasi piala asia tunggu rakyat indonesia tampil piala asia wujud berkat dukungan perintah jokowi tlng cepat naturalisasi jordi amatsandi wals dn shayne patiyama spy bela timnas indonesia,neutral,60.77%,267
jhonny van beukering ya mantan pemain naturalisasi timnas indonesia dengar beukering bincang kait aku satpam klub striptis,neutral,56.31%,236
gapapa mail naturalisasi timnas sepak bola indonesia,negative,39.22%,73
pemain timnas u jalan pusat latih stadion madya senayan latih hadir pemain naturalisasi kai davy boham jim croque max christoffel latih timnas indonesia u aldhi chandra,neutral,98.77%,244
kuat timnas indonesia pemain naturalisasi lekas status wni,neutral,99.79%,74
profil jhony van beukering mantan pemain naturalisasi timnas indonesia satpam kelab striptis,neutral,99.56%,102
kai boham bek almere calon naturalisasi timnas u,neutral,99.47%,55
shin tae yong target timnas u indonesia juara piala aff u calon naturalisasi via,neutral,99.73%,94
kai boham tular gaya main eropa timnas indonesia u pemain naturalisasi tambahlagi,neutral,89.48%,93
mantan naturalisasi timnas indonesia jhonny van beukering satpam kelab striptis belanda,neutral,99.27%,95
miris mantan naturalisasi timnas indonesia bangkrut satpam kelab striptis,negative,93.68%,80
van beukering ton cussel raphael maitimo pemain naturalisasi bela timnas indonesia piala aff,neutral,96.90%,126
mantan pemain naturalisasi timnas indonesia jhonny van beukering lilit uang satpam klub striptis,neutral,99.50%,146
mantan striker naturalisasi timnas indonesia jhonny van beukering banting setir satpam klub malam tunjuk tari dewasastriptis de nacht tilburg belanda profesi jalan beukering hidup keluarga,neutral,98.33%,249
striker naturalisasi timnas indonesia jhonny van beukering nasib miris jaga aman klub striptis,negative,94.38%,151
duh mantan naturalisasi timnas indonesia bangkrut satpam klub striptis ditilburg,neutral,50.17%,90
pemain anyar naturalisasi timnas indonesia u tanahair,neutral,99.70%,61
pensiun sepakbola pemain naturalisasi jhonny van beukering serabutan tugas aman jaga pintu klub striptis tilburg belanda mantan man timnas indonesia alami finansial utas,neutral,94.20%,244
timnas malaysia gelandang naturalisasi ganas timnas indonesia angkut thom haye,neutral,99.46%,96
timnas kelompok umur iya u kali tidak kuat timnas senior italia eligible kuat indonesia naturalisasi,neutral,86.05%,154
bukan naturalisasi turun indonesia elkan pilih wni ngomong ngomong doi muda timnas main jangka,positive,93.36%,174
pemain naturalisasi gabung timnas indonesia shin tae yong kuat piala asia,positive,68.23%,87
tidak kak atur indo sndri timnas bela negara ajang internasional gbisa naturalisasi main nama indonesia ajang internasional beda cerita naturalisasi bukan pemain,negative,98.14%,241
timnas indonesia lolos piala asia catat redaksi shin tae yong butuh tambah pemain naturalisasi,neutral,99.66%,98
tidak tawar naturalisasi timnas indonesia butuh striker tajam lini timnas tumpul,negative,99.17%,145
berita bola kini nova indonesia klik amunisi pemain naturalisasi timnas indonesia kuat piala asia,neutral,98.81%,114
amunisi pemain naturalisasi timnas indonesia kuat piala asia,positive,54.48%,74
latih timnas indonesia shin tae yong pemain naturalisasi skuadnya kuat piala asia,neutral,89.89%,123
piala asia timnas indonesia kuat pemain naturalisasi jordi sandy walsh shayne,neutral,94.13%,131
profil pemain naturalisasi kuat timnas indonesia piala asia,neutral,98.41%,76
profil pemain naturalisasi kuat timnas indonesia piala asia coid,neutral,99.25%,87
sbenarnya posisi kiper pake liga lokal tidak kiper indonesia perhati timnas posisi kiper abroad naturalisasi,positive,75.56%,196
lolos piala asia shin tae yong pemain naturalisasi timnas indonesia kuat,neutral,97.72%,99
pemain naturalisasi target bela timnas indonesia piala asia,neutral,99.52%,67
shin tae yong syarat masuk timnas indonesia calon pemain naturalisasi komitmenini,neutral,99.48%,99
bawa timnas indonesia juara piala asia shin tae yong saran pakai pemain naturalisasi via,neutral,99.78%,98
mikir ni orang naturalisasi tidak mikirin kalo pke passport indonesia mana ribet ngurus visa main timnas,negative,97.30%,158
muda status pemain naturalisasi elkan baggot toreh deret fakta tarik timnas indonesia piala asia,positive,78.59%,149
sandy walsh debut timnas indonesia gagal realisasi kualifikasi piala asia proses naturalisasi sandy beres,neutral,81.33%,166
timnas indonesia sangar pemain naturalisasi main piala asia,neutral,83.69%,73
warga negara indonesia tolong pertahanin coach shin latih tim nasional indonesia senior jangan egoisme fokus u paktolonglah dengar rakyat cinta sepakbola timnas indonesia selesai proses naturalisasi jordi dkk,negative,49.54%,276
ngarepin cowok karakter sempurna kayak gong tae sung sih nunggu thomas mller naturalisasi pemain timnas indonesia,negative,95.01%,134
pemain naturalisasi kuat timnas indonesia piala asia shin tae yong tim solid,neutral,95.00%,108
pemain naturalisasi peluang gabung timnas indonesia ajang piala asia simak janji shin tae yong,neutral,99.39%,114
pemain calon naturalisasi main timnas u indonesia menang tim lokal prancis,neutral,99.64%,79
shin tae yong pemain starter timnas indonesia laga kontra nepal pemain naturalisasi,neutral,99.65%,96
asli malaysia pindah kewarganegaraan singapore kakak timnas emang bhs melayu bagus timnas singapore atlet naturalisasi indonesia barusan pensiun,positive,61.81%,195
belanda gagal lolos piala dunia u sempat timnas indonesia u naturalisasi pemain negeri kincir angin,neutral,94.49%,118
wonderkid vitesse pemain naturalisasi belanda gabung timnas u indonesia,neutral,99.54%,93
sosok pemain naturalisasi belanda gabung timnas u indonesia orang,neutral,98.07%,91
anggota exco pssi hasan abdulgani buka informasi pemain turun gabung timnas indonesia piala dunia u,neutral,99.40%,169
musuh bahaya pemain timnas indonesia jordania oknum urus pssi polemik lambat proses naturalisasi timnas tidak kuat tentu nasib sorang ig spt tidak adab,negative,99.10%,276
timnas senior ganti latih gimana nasib sandy jordi shayne dateng indonesia naturalisasi mending kepake latih baru engga program nya shin tae yong,negative,89.66%,207
fakta tarik marc klok pemain naturalisasi timnas indonesia sinar kualifikasi piala asia,neutral,94.88%,100
calon pemain naturalisasi sandy walsh sabar kena seragam timnas indonesia skuad shin tae yong bungkam kuwait baca lengkap,neutral,96.44%,169
jim croque otw timnas indonesia u datang calon pemain naturalisasi belanda,neutral,99.55%,97
pantes timnas sepakbola indonesia sukses banget pemaennya hasil naturalisasi semuaaa tidak pemaen lokal,positive,98.36%,107
kadang mikir coach shin tae yong staff tim pemain naturalisasi timnas indonesia kasi federasi gajelas tidak struktur haus puji,negative,99.53%,204
timnas indonesia hancur kuwait respons calon pemain naturalisasi,neutral,99.71%,74
respons calon pemain naturalisasi timnas indonesia hancur kuwait,neutral,99.74%,82
timnas menang calon pemain naturalisasi kompak girang,neutral,98.56%,58
oh gitu tidak paham sih jaman segitu sd timnas indonesia udah main piala asia x pemain naturalisasi filipina juara aff x tidak lolos piala asia tidak alas shin tae yong tidak lolos timnas indonesia,negative,96.06%,282
bukti timnas indonesia udah x main piala asia pemain indonesia tidak jelek jelek omong th timnas indonesia main piala asia lolos pemain naturalisasi tc mahal,positive,98.89%,227
tahun ngapain kalo tidak bener bener nglatih lol gaji buta gitu kocak liat shin tae yong lolos timnas piala asia tidak kalo gagal total ya beda lm th indonesia lolos piala asia pemain naturalisasi,negative,98.31%,257
setuju rizky ridho sih tetep klok pemain naturalisasi liat banget semangat bela timnas indonesia marc klok u got my respect,positive,98.98%,149
kuat timnas indonesia u pemain naturalisasi jim croque pemain turun indonesia belanda panggil skuad,neutral,99.53%,121
calon pemain naturalisasi timnas u indonesia jim croque sukses tampil tawan vitesse u musim,positive,50.91%,105
vitesse konfirmasi jim croque panggil timnas u indonesia naturalisasi proses,neutral,99.80%,87
naturalisasi pemain timnas indonesia pasuk babak,neutral,99.73%,68
good news dokumen pemain naturalisasi timnas indonesia proses setneg,neutral,99.77%,82
latih timnas indonesia pakai pemain naturalisasi baru shin tae yong,neutral,96.96%,84
dokumen naturalisasi calon pemain naturalisasi timnas indonesia lengkap tiga sandy walsh jordi shayne pattynama,neutral,99.37%,151
nasib naturalisasi sandy walsh jordi gagal bela timnas indonesia kualifikasi piala asia,neutral,97.45%,117
kabar gembira timnas indonesia proses pemain naturalisasi lengkap main kualifikasi asia,positive,60.96%,101
shin tae yong ngamuk pemain timnas indonesia pasang wajah murung netizen alas shin tae yong pemain naturalisasi,neutral,93.21%,123
timnas indonesia u butuh pemain naturalisasi turun piala dunia u,neutral,99.61%,78
sandy walsh tidak kuat timnas indonesia ajang kualifikasi piala asia proses naturalisasi rampung,neutral,97.42%,144
kerja bagus pssi baik sepak bola indonesia banget naturalisasi bukan kalo pemain naturalisasi timnas jago bukan maksud malu pemain lokal kalo tidak panggil tanda baik pemain,negative,57.18%,285
kabar bahagia timnas indonesia naturalisasi barumerapat,neutral,53.81%,60
naturalisasi macet sandy walsh curhat gagal bela timnas indonesia kualifikasi piala asia,neutral,93.48%,94
tolong pantau pemain naturalisasi timnas indonesia nihhehehe,neutral,93.82%,73
naturalisasi timnas formula e indonesia,neutral,98.01%,49
naturalisasi sandy walsh kecewa bela timnas indonesia calon pemain naturalisasi sandy walsh kuat timnas indonesia lawan kuwait kualifikasi piala asia,negative,80.57%,193
timnas indonesia u incar naturalisasi pemain ligabelanda,neutral,99.71%,60
timnas indonesia u incar naturalisasi pemain liga belanda,neutral,99.69%,61
mantab klok pemain naturalisasi kapten timnas indonesia saran klok jangan duet rahmat iriyanto karna style cocok duet marselino abimanyu,positive,96.22%,217
tidak byk naturalisasi darah indonesia ckp club hebat timnas bukti udah byk,negative,88.89%,132
calon pemain naturalisasi timnas indonesia jordi tawar klub jepang spanyol klub minat bek usia,neutral,95.34%,206
calon pemain naturalisasi timnas indonesia shayne pattynama ajar bahasa jawa okezonebola,neutral,99.71%,91
timnas indonesia penuh pemain naturalisasi prestasi tu,negative,99.45%,83
naturalisasi besar pemain naturalisasi nama timnas indonesia gitu tidak maju,negative,99.54%,114
tiga gagal bela timnas indonesia kualifikasi piala asia proses naturalisasi rampung daftar pemain tutup,neutral,68.22%,145
alexander pulalo program naturalisasi timnas indonesia tidak,negative,88.38%,95
timnas krg stok serang no aplgi non naturalisasi kongres kmrn g menyinggug atur sistem bkin liga indonesia dpn mnghasilkan striker timnas mumpuni lht main timnas indonesia vs bangladesh bnyk problem u benah,negative,73.45%,259
sayang lawan bangladesh timnas indonesia tidak kuat sandy walsh jordi proses naturalisasi rampung tenaga pakai pra piala asia,negative,40.73%,221
uda tidak percaya nama naturalisasi darah turun indonesia ttp tidak percaya bahas mrk hak wni bela timnas duduk lokal wni lahir tidak ribet ngurus pasport pindah wn mrk lbh hak bela timnas,positive,93.51%,292
naturalisasi selesai jordi pesan timnas indonesia,neutral,99.71%,68
naturalisasi era bukan klub bukan pemain main indonesia main timnas berkarir liga eropa pemain naturalisasi main liga utama eropa timnas tidak,negative,83.63%,279
profil jordi calon pemain naturalisasi kabar batal bela timnas indonesia,neutral,99.66%,95
jalan naturalisasi bela timnas indonesia gaya shayne pattynama bahasa jawa fans suka,neutral,50.53%,105
naturalisasi pemain timnas sepakbola beriamdi indonesia minimal bela nkri klw tka rusak nkri mudah ktp ri,negative,99.65%,177
kuat timnas indonesia pemain naturalisasi shayne pattynama pamer bicara bahasa jawa,neutral,99.74%,86
calon naturalisasi timnas indonesia jordi aku lamar klub malaysia spanyol jepang,neutral,99.74%,101
calon pemain naturalisasi timnas indonesia shayne pattynama jakarta lihat senyum lebar alhamdulillah,neutral,96.15%,120
pemain bola naturalisasi ujug main timnas emang kualitas atas pemain lokal pemain liga indonesia gimana bubarin gitu ram pemain tawar naturalisasi main timnas,negative,99.30%,205
shin tae yong plan b timnas indonesia minus pemain naturalisasi pssi target lolos,neutral,99.73%,96
jordi sandy walsh naturalisasi umur gin yak emang ditawarin pssi kali ya emang udah tidak main timnas yaudah indonesia deh wkwk,negative,97.55%,200
legenda timnas indonesia tidak setuju program naturalisasi ya,negative,97.37%,85
jordi sandy walsh gagal bela timnas indonesia akibat kendala proses naturalisasi selesai,neutral,99.02%,110
yuk dengar wawancara eksklusif hasan abdulgani kunci naturalisasi pemain timnas indonesia,neutral,98.74%,95
selesai rangkai proses naturalisasi sandy walsh jordi batal bela timnas indonesia kualifikasi piala asia,neutral,99.22%,149
masuk shayne pattynama timnas indonesia banjir pemain naturalisasi,neutral,99.19%,91
shin tae yong optimistis timnas indonesia kalah bangladesh laga uji coba kuat pemain naturalisasi,neutral,98.52%,125
shayne pattynama calon pemain naturalisasi tiga timnas indonesia jakarta,neutral,99.78%,82
pssi timnas indonesia kuat pemain naturalisasi piala dunia u,neutral,99.50%,86
aislinn konig senang sandy walsh masuk naturalisasi timnas indonesia,neutral,71.26%,73
tunggu proses naturalisasi rampung latih skuat timnas indonesia gelar fifa a match pekan bandung jawa barat,neutral,94.48%,192
shin tae yong timnas indonesia u lolos perempatfinal piala dunia u bantu pemain naturalisasi,neutral,99.35%,116
jordi sandy walsh batal tampil timnas indonesia kualifikasi piala asia proses naturalisasi rampung harap aksi mohon sabar ya,neutral,85.71%,213
pssi calon pemain naturalisasi sandy walsh jordi tidak tampil timnas indonesia kualifikasi piala asia juni kuwait,neutral,99.50%,165
pemain turun jim croque th ivan jenner th sedia bela timnas indonesia jalan naturalisasi proses pemain senior selesai jim ivan proyeksi isi skuad timnas u gelar piala dunia bolasport,neutral,98.88%,254
profil prestasi shayne pattynama pemain naturalisasi calon penggawa timnas indonesia,neutral,99.24%,88
pemain naturalisasi timnas indonesia,neutral,99.30%,36
pemain naturalisasi timnas indonesia belanda,neutral,99.55%,49
pemain naturalisasi gabung prediksi line up timnas indonesia kualifikasi piala asia,neutral,99.77%,90
pemain naturalisasi rapat timnas indonesia ketiban untung,neutral,98.42%,59
kenal shayne pattynama pemain naturalisasi bela timnasindonesia,neutral,99.59%,76
calon pemain naturalisasi tiga timnas indonesia cepat dijakarta,neutral,99.80%,75
banjir pemain naturalisasi marc klok pemain timnas indonesia kuat,neutral,96.67%,86
nya tarik naturalisasi pssi cita karier nya angkat performa timnas indonesia puasa gelar,positive,93.64%,136
lini naturalisasi jordi sandy walsh shane pattynama patut timnas indonesia laga piala asia kualifikasi piala dunia,neutral,86.25%,172
sandy walsh jordi pemain naturalisasi timnas indonesia senang kunjungiindonesia,neutral,50.15%,97
yap point sih pemain naturalisasi jangan hehe biar pemain asli indonesia saing sehat inti saing sehat situ timnas sehat kuat,positive,97.25%,215
timnas sepakbola indonesia mah gausah diarepin solusi jangka pendek sih naturalisasi pemain abroad eropa solusi jangka panjang ya benah liga bina usia fasilitas kait bina pemain,positive,91.93%,230
sea games timnas u indonesia vs thailand ajang bukti pemain naturalisasi persib bandung,neutral,99.10%,101
calon pemain naturalisasi timnas indonesia jordi sandy walsh jalan tes medis kondisi,neutral,99.76%,124
kasi banget thailand dah pemain naturalisasi kalah timnas indonesia wkwkw mantap,negative,99.79%,105
berkat sabar konsistensi filipina pemain naturalisasi ada peringkat indonesia bro jangan bicara kelompok umur bicara timnas senior,positive,97.73%,200
calon pemain naturalisasi jordi sempat tonton tanding timnas u indonesia sea games jordi,neutral,99.46%,131
sehat pemain naturalisasi timnas indonesia periksa hasil kaget,neutral,99.37%,83
vietnam vs indonesia marc klok debut manis timnas u pemain naturalisasi belanda mark klok debut manis timnas u hadap vietnam sea games,neutral,98.80%,189
keluh kondisi lapang latih jelang vietnam vs indonesia gelandang naturalisasi timnas u marc klok foto pssi odp tm,neutral,99.75%,141
salah sangka media vietnam anggap ronaldo kwateh pemain naturalisasi timnas indonesia u,neutral,67.70%,87
skuad timnas u sea games zulfiandi susun pemain sea games naturalisasi indonesia skuad timnas jadwal sepak bola,neutral,99.60%,117
naturalisasi pemain timnas indonesia kendala dokumen negaraasal,neutral,99.26%,66
naturalisasi pemain timnas indonesia kendala dokumen negara,neutral,99.56%,67
pemain timnas indonesia u potensi panas sea games pemain naturalisasi,neutral,99.22%,84
pemain naturalisasi tidak pakai timnas indonesia striker,neutral,99.64%,70
hits bola baru marc klok pemain naturalisasi bela timnas indonesia u sea games,neutral,99.50%,93
baru marc klok pemain naturalisasi bela timnas indonesia u ajang sea games,neutral,99.36%,89
pemain naturalisasi gagal sinar timnas indonesia nomor sandung kriminal,neutral,94.33%,98
pemain naturalisasi kuat timnas indonesia sea games mualaf,neutral,99.52%,79
pemain naturalisasi kuat timnas indonesia sea games,neutral,99.34%,62
prediksi line up timnas indonesia kualifikasi piala asia versi hasan abdulgani tanda naturalisasi rampung,neutral,99.70%,109
pemain naturalisasi bela timnas indonesia u sea games nomor nanti,neutral,83.72%,82
kandidat naturalisasi timnas indonesia shayne pattynama kontribusi bawa klub,neutral,95.78%,88
alhamdulillah temu diskusi positif hasil kemenkumham bantu mendukung proses naturalisasi calon pemain timnas indonesia sandy walsh jordi selesai cepat yunus nus,positive,49.10%,241
mohon bu cepat proses naturalisasi penting timnas indonesia moga bantu urus pemain turun indonesia,positive,56.53%,164
naturalisasi timnas indonesia pssi tinggal lengkap syarat sandy walsh jordi wni,neutral,99.73%,105
pemain naturalisasi belanda optimis timnas indonesia juara piala aff,neutral,61.12%,98
kayak timnas full naturalisasi dah,negative,77.34%,43
pssi jiplak maroko tidak malu persen pemain timnas maroko pemain naturalisasi anak turun maroko main klub hebat negeri pemain inti timnas maroko,positive,62.22%,223
ngab jaman bocah anak liat timnas tidak juara tidak jauhw piala asia juara aff deh sea games susah banget jaman kurniawan ansyari lubis fachri husaini aji santoso anang maruf era naturalisasi tidak oernah menang,negative,96.66%,282
isi skuad timnas pemain naturalisasi pemain naturalisasi tidak seleksi pakai heran plus suporter ngaco nonton rumah ye malu negara,negative,98.88%,263
sit ki yo wae kabeh pemain main negeri naturalisasi pie genteni pemain main timnas,negative,90.07%,135
sih ah hak mmbantu timnas warga asli diaspora d dunia timnas thailand pake pemain naturalisasi baik kualitas liga donk wajib pssi,negative,98.22%,212
goblok emamg tidak tau naturalisasi kunci bangkit timnas tim pemain naturalisasi biar juara piala dunia bang,negative,99.53%,148
banyakin naturalisasipaling main timnas sembari baik ssb indonesia baik teknik dasar minimal kaya sekolah sd bis ajarin taktik,negative,93.75%,197
habis cok timnas olok olok nitijen bilang orang naturalisasi biar indo juara haha,negative,99.44%,114
kompetisi dasar pondasi ssb kurikulum teknik dasar kontrol passing dribling taraf ahli bukan kemarin lihat video latih timnas u lewatin kon beda skill naturalisasi ama lokal,positive,61.70%,273
ya timnas butuh banget pemain naturalisasi grade a bina era era tidak jalan naturalisasi pemain tidak asal kritik bina tidak anti naturalisasi fokus kritik bina,positive,69.15%,275
sya mendukung pemain ngisi timnas pemain kompetisi level liga eropa jepang korea naturalisasi hijrah liga indo,positive,52.80%,192
tolong perintah pssi cari rekrut pemain naturalisasi kualitas banyak drpd pemain jago kandang skill shootingnya jelek tidak gol kasihan latih timnas indonesia garuk kepala trus,negative,99.67%,219
santai timnas malaysia pakai pemain naturalisasi,negative,89.91%,62
bayang naturalisasi jalan multiple citizenship skuad timnas isi pemain gio van bronckhorst wilfred bouma johnny heitinga nigel de jong roy makaay radja nainggolan rvp ya kalo sih,positive,94.39%,231
kali naturalisasi pemain liga indo biar ngakalin kuota pemain asing skrng timnas naturalisasi upgrade sandy walsh belgia alam eropa baggott hubner struijk pemain muda kembang eropa,negative,47.77%,294
susah ju mental pemain bawah thailand pemain naturalisasi nya tidak bagus banget shin tae yong sampe pusing ngeliat main timnas,negative,99.78%,150
