full_text,sentiment,confidence
selebrasi pelatih kiper timnas indonesia u marcus horizon dalam siaran langsung perayaan gelar juara piala aff u menuai kritik pasalnya selebrasi mantan kiper timnas indonesia itu dinilai berlebihan dan menyindir program naturalisasi pssi,neutral,87.14%
apa pelatih dan asisten pelatih itu lupa bahwa lolos timnas senior indonesia ke piala asia adalah kombinasi pemain keturunan indonesia pemain indonesia binaan dalam negeri dan pemain naturalisasi ayolaah buka mata dan buka hati,positive,73.47%
tetep merendah adek mulai skrng latihan yang rajin nanti di level dewasa kalian harus berhadapan dengan proyek naturalisasi yang semuanya punya tiket otomatis masuk tmnas ektp nya saja dikasi langsung tidak perlu ngantri ngurus ke capil,positive,89.25%
proses naturalisasi pemain ini masih mandek di dpr bisa bela timnas indonesia lawan curacao gak ya,negative,98.19%
proses naturalisasi pemain ini masih mandek di dpr bisa bela timnas indonesia lawan curacao gak ya,negative,98.19%
euforia hari ini di nodai sma tingkah staff pelatih timnas ngapain teriak lokal pride mau nyindir naturalisasi atu gimana maksutnya di u ada hal juga ada pemain keturunan korea indonesia baru di u wajar tidak ada naturalisasi lah di senior liat kwalitasnya bro,negative,98.16%
tiga pemain calon naturalisasitimnasindonesia u kai bovam jim croque dan max christoffel dianggap belum layak,neutral,99.57%
persita tangerang perkuat lini depan boyong striker naturalisasi eks timnas indonesia,neutral,99.78%
kisah menarik dituturkan hasani abdulgani yang mengatakan shin tae yong langsung minta naturalisasi saat pertama melihat materi timnas indonesia,neutral,95.11%
hadapi piala dunia u pelatih timnas indonesia butuh pemain naturalisasi berpostur tinggi,neutral,99.31%
cedera egy maulana vikri makin membaik calon pemain naturalisasi timnas indonesia sandy walsh beri suntikan semangat,neutral,98.98%
timnas indonesia u berencana naturalisasi pemain media vietnam sewot takut jadi lumbung gol di piala dunia u,negative,93.24%
soroti naturalisasi di timnas indonesia u media vietnam sinis takut jadi lumbung gol di piala dunia u,neutral,53.38%
pelatih timnas indonesia shin tae yong mengungkap timnas u butuh pemain naturalisasi,neutral,99.72%
pelatih timnas shin tae yong meminta pssi untuk menaturalisasi pemain asal belanda demi piala dunia u di indonesia,neutral,99.66%
perbasi genjot program naturalisasi demi prestasi timnasindonesia,neutral,99.49%
perbasi genjot program naturalisasi demi prestasi timnas indonesia,neutral,99.55%
shin tae yong ungkap alasan timnas indonesia perlu pemain naturalisasi di piala dunia u,neutral,99.60%
piala dunia juga menjadi fokus saya salah satu kunci penting dalam memperkuat timnas kita agar bisa mengikuti ajang piala dunia u dengan menempatkan pemain naturalisasi di dalam timnas indonesia saya harap proses naturalisasi pemain bisa dipercepat dan memperkuat timnas,positive,92.18%
shin tae yong jelaskan alasan perlu pemain naturalisasi untuk timnas u indonesia,neutral,99.73%
di bawah asuhan shin tae yong penampilan timnas indonesia dibilang cukup bagus tak terkecuali untuk timnas u demi kebutuhan skuat garuda muda pelatih asal korsel itu meminta pemain naturalisasi penasaran simak dalam utas berikut,neutral,84.17%
jakarta jelangpiala dunia u mendatang pelatih tim nasional timnas indonesia u shin tae yongmenyatakan butuhpemain naturalisasi,neutral,99.73%
setuju usul shin tae yong soal naturalisasi timnas indonesia u disarankan tc ke belanda,neutral,99.01%
bisa kalau misalnya dia punya dua kewarganegaraan bisa dinaturalisasi yang penting rank timnas indonesia nya sudah diatas an biar pada mau di naturalisasi soalnya rata pemainnya dri eredivisie,neutral,64.44%
pemain naturalisasi dibutuhkan timnas indonesia lantaran lantaran lawan di piala dunia u memiliki postur yang tinggi tinggi,neutral,77.29%
ketua pssi mochamad iriawan memberikan tenggat waktu kepada shin tae yong hingga agustus untuk menyetor nama calon pemain naturalisasi timnas indonesia u supaya segera diproses,neutral,99.40%
kualitas pemain calon naturalisasi timnas u dinilai belum mumpuni tetapi ada yang sudah terima menu latihan dari pssi baca selengkapnya disini,neutral,96.97%
aku setuju sih kalau ingin perubahan sepakbola di indonesia itu harus dimulai dari kesadaran klub pesertanya bkn dimulai dari timnasnya mau bagaimanapun percuma timnas pake pemain tua naturalisasi kalau kompetisi domestiknya isinya badut semua mau tidak mau harus ada yang memulai,negative,93.49%
posisi yang harus dibenahi di timnas u indonesia pemain naturalisasi siap mengisi,neutral,98.43%
posisi yang harus dibenahi di timnas u indonesia pemain naturalisasi siap mengisi,neutral,98.43%
banyak kekurangan shin tae yong akui butuh pemain naturalisasi untuk timnas indonesia u,neutral,98.42%
penyebab calon pemain naturalisasi timnas indonesia u tak dilanjut prosesnya,neutral,99.51%
respon pssi soal proses naturalisasi pemain timnas indonesia yang diminta shin tae yong belum tuntas,neutral,99.55%
shin tae yong minta pemain naturalisasi di skuad timnas indonesia u,neutral,99.74%
usulan dari manajer timnas u indonesia agar mudah cari pemain naturalisasi training camp atau tc di belanda indonesia,neutral,99.42%
pelatih timnas indonesia shin tae yong meminta pssi mempercepat program naturalisasi pemain khususnya untuk timnas u,neutral,99.55%
calon pemain naturalisasi timnas u disebut belum layak,neutral,96.67%
demi tampil maksimal di piala dunia u shin tae yong minta ada pemain naturalisasi di timnas indonesia u,neutral,99.48%
benar kata coach seharusnya timnas tinggal nerima pemain terbaik dari klub bayangin saja indonesia jutaan penduduk pencinta bola tapi koh harus pake pemain naturalisasi lagi,negative,67.81%
evaluasi timnas u indonesia shin tae yong butuh tambahan pemainnaturalisasi,neutral,99.80%
shin tae yong beberkan kriteria khusus untuk pemain naturalisasi timnas u indonesia,neutral,99.69%
pelatih timnas indonesia shin tae yong mengungkapkan kriteria yang diinginkannya untuk pemain naturalisasi,neutral,99.22%
shin tae yong timnas u indonesia butuh pemain naturalisasi,neutral,99.70%
shin tae yong timnas u indonesia butuh pemain naturalisasi,neutral,99.70%
shin tae yong meminta pssi mempercepat program naturalisasi pemain untuk timnas u indonesia agar bisa bersaing di piala dunia u,neutral,99.45%
shin tae yong timnas u indonesia butuh pemain naturalisasi,neutral,99.70%
pasal supaya muncul talenta baru untuk timnas maka peserta piala indonesia diwajibkan tanpa pemain asing dan naturalisasi pasal mempertimbangkan kualitas turnamen dan siaran langsung tv pemain asing dan naturalisasi boleh bermain sejak babak besar,neutral,94.29%
yang slm ini sll saya sorot terkait dinamika sepakbola di indonesia adalah soal liga prestasi timnas itu bonus mw sehebat apapun pelatih timnas kita meng upgrade pemain termasuk melalui naturalisasi akan sia jika liga kita masih amburadul dan jauh dari kata profesional,negative,92.45%
pelatih timnas indonesia shin tae yong mengungkapkan alasan mengapa dirinya sulit mencari penyerang untuk di naturalisasi dan ada alasan yang cukup masuk akal dibalik itu selengkapnya di youtube,neutral,96.71%
terakhir timnas main pemain naturalisasi bisa dihitung jari dulu mungkin,neutral,97.97%
program naturalisasi untuk timnas indonesia sampai kapan akan dilakukan,neutral,98.63%
shin tae yong langsung minta program naturalisasi setelah tahu materi pemain asli timnas indonesia,neutral,99.71%
diliat dari aspek fasilitas dsb nampaknya kita kalah dari negara itu tapi mngkin afc punya pertimbangan lain ngeliat animo fans timnas kalau main di indonesia ya kita liat saja lobi kedepannya yang pnting saat piala asia pemain naturalisasi sudah bisa main deh,positive,96.99%
begitu dikontrak lihat materi pemain timnas indonesia shin tae yong langsung minta naturalisasi,neutral,99.59%
fifa matchday september waktu yang tepat bagi coach shin tae yong panggil dan seleksi pemain keturunan proyeksi timnas u bagi max croque dan boham yang sudah diseleksi tinggal tunggu pengumuman kalau lolos bisa ke indonesia urus proses naturalisasi,neutral,96.07%
secara katanya dia tidak ada hubungannya sama sekali dengan indonesia analoginya kayak misal pssi naturalisasi ivan toney wn inggris main di epl dan kayaknya tidak bakal dipanggil ke timnas inggris,negative,92.96%
selain marques bolden siapa lagi pemain naturalisasi yang pernah bermain untuk timnas indonesia cek postingan ini,neutral,98.00%
regulasi eligibility tiap olahraga itu menarik rugby cukup menarik bagi para pecinta naturalisasi atau pemain rasa asing di timnas timnas rugby ini adalah salah satu yang cocok yg di foto di bawah ini adalah timnas indonesia duanya,positive,98.57%
betul naturalisasi nya tokcer tapi tidak lepas juga dari pembinaan usia dini nya kayaknya hampir semua pemain timnas yang masa kecilnya di indonesia ini jebolan dbl duh andai liga danone bisa se rapih dbl,positive,91.36%
tapi di bola pemain naturalisasi tanpa darah keturunan harus tinggal tahun di indonesia dlu baru bisa main buat timnas plus harus punya bukti kuat untuk menyatakan keturunannya itu juga yang buat lama di bola,negative,91.96%
dari beberapa tahun lalu juga udah saya bilang timnas perlu pemain yang bisa rebound dan defense bawah rim mau gamau naturalisasi karena pemain lokal terlalu kecil bagus perbasi bisa naturalisasi pemain sesuai kebutuhan dan menutup kelemahan klasik indonesia soal size,negative,61.96%
menpora izinkan pssi tambah pemain naturalisasi untuk timnas u indonesia,neutral,99.77%
menpora izinkan pssi tambah pemain naturalisasi untuk timnas u indonesia,neutral,99.77%
pelatih timnas indonesia shin tae yong ingin proses naturalisasi jordi amat tetap dilanjutkan,neutral,99.67%
waktunya serius berbenah masih ada kejuaran dunia sepakbola di indonesia serahkan timnas u ke coach yang lain biar sin ta yong fokus ke u amp senior atau out bangun training centre lanjutkan naturalisasi dan perbaiki kompetisi,neutral,60.06%
pemain naturalisasi yang lu bilang setengah itu sama pembina pembina hal yang wajib kita sepakat tetapi kalo ada pemain yang besar di luar punya niat main buat timnas garis keturunan nya jelas jangan lu bilang setengah dan jadi penyebab sepakbola indonesia tidak maju,negative,97.38%
berikut lima pemain naturalisasi yang mubazir untuk timnas indonesia,neutral,94.08%
indonesia itu mau tidak mau butuh tenaga pemain naturalisasiketurunan terutama dari segi fisiknya pemain asli indonesia itu susah nyari yang punya fisik bagus terutama di tinggi badan yang diatas untuk pildun mau tidak mau timnas butuh pemain dengan tinggi diatas an,negative,73.30%
proses naturalisasi jordi amat diminta disetop shin tae yong tak masuk akal juga dia sudah mengorbankan diri,neutral,73.22%
seharusnya yang indonesia tidak perlu naturalisasi kaya begini diambil saja dulu uji di tctrial timnas kalo emang berkualitas masuk timnas kalo tidak ya proses dulu di klub,negative,87.69%
bukan maksud mematahkan semangat tetapi melihat hasil yang ada timnas u belom bisa diproyeksikan untu wc u shin tae yong harus mencari bibit yang lebih unggul dari ssb se indonesia dan naturalisasi agar pemilihan pemain dapat diseleksi lebih ketat,positive,64.93%
dulu selalu punya pikiran kalau pemain yang mau naturalisasi ke indonesia itu pada dasarnya sudah menyerah mengejar mimpi membela timnas aslinya,negative,96.37%
benarkah arnold van der vin pemain naturalisasi pertama timnas indonesia,neutral,99.70%
jordi amat dan sandy walsh berpeluang bela timnas indonesia di fifa matchday september mendatang naturalisasi hampir kelar,neutral,99.46%
kali ini gelandang naturalisasi andalan timnas indonesia marc klok menjadi model pada rilis kali ini tidak ketinggalan logo garuda berlatar belakang tameng berwarna hitam dengan tulisan indonesia di dada sebelah kiri,neutral,85.56%
pelatih timnas indonesia shin tae yong meminta kepada pssi untuk melanjutkan proses naturalisasi jordi amat,neutral,99.63%
persatuan sepakbola seluruh indonesia pssi memutuskan tetap melanjutkan proses naturalisasi untuk calon pemain timnas indonesia jordi amat,neutral,99.63%
pemain naturalisasi timnas indonesia sandy walsh mengungkapkan perasaannya soal isi jeroan timnas menurutnya banyak pemain berbakart di skuat garuda,neutral,98.35%
jakarta shin tae yong kirim pesan khusus soal naturalisasi jordi amat lewat surat resmi kepada pssi pelatih kepala timnas indonesia,neutral,99.78%
makanya indonesia tidak bisa berkembang sepak bolanya karena banyak pemain naturalisasi buat apa main bagus kalau tidak di panggil timnas,negative,99.19%
dibutuhkan timnas indonesia shin tae yong minta naturalisasi jordi amat tetap lanjut,neutral,99.80%
proses naturalisasi jordi amat dipastikan akan terus berjalan selengkapnya,neutral,95.73%
pelatih timnas indonesia shin tae yong bersurat ke ketua pssi mochamad iriawan untuk tetap melanjutkan naturalisasi jordi amat meski bermain di malaysia dengan johor darul tazim jdt,neutral,99.61%
dibutuhkan timnas indonesia shin tae yong minta naturalisasi jordi amat tetap lanjut,neutral,99.80%
pemain naturalisasi yang gagal total di timnas indonesia ada yang tersandung kasus,neutral,91.83%
pemain naturalisasi yang gagal total bersama timnas indonesia,neutral,63.22%
weh moh salah naturalisasi timnas indonesia kah,negative,98.83%
alasan timnas indonesia tak turunkan pemain naturalisasi dari amerika,neutral,99.62%
pemain naturalisasi yang gagal total bersama timnas indonesia,neutral,63.22%
respons shin tae yong saat ditanya kelanjutan naturalisasi pemain keturunan timnas indonesia u asal belanda,neutral,99.75%
ya sayang dong naturalisasi jalur khusus cuma buat jangka pendek timnas yang ada ujungnya kek yang udah tidak kepake timnas malah nguntungin oknum tertentu dan oknum klub asean tertentu indonesia kelebihan sdm kalo mau rekrut orang asing jadi wni harus yang spesial,negative,93.89%
let s move on paspor indonesia buat jordi amat will not make your life miserable unless you have no life paspor indonesia buat jordi amat mungkin lebih berguna buat timnas dibandingkan dengan naturalisasi pemain asing untuk klub indonesia,positive,59.65%
di periode tsb juga ada greg dan victor tapi ya mereka bagian dari klub kpsi kemudian di indonesia yang sudah rujuk antara kpsi pssi dibanned fifa ada bio paulin yang dinaturalisasi ada juga fano yang sudah di naturalisasi hal ini membuat timnas melewatkan kualifikasi pildun,negative,91.97%
naturalisasi bukan hal baru di timnas kita kok jangan gelagepan dong pak syaiful kocak bener dah sebagian orang yang membawa indonesia menjadi runner up aff dan lolos ke asian cup yaa pemain naturalisasi juga kan pak,positive,85.59%
kalau dia jadi naturalisasi emng nya kenapa harus bermain di jdt fungsi naturalisasi kan nanti nya bisa bermain timnas bahkan dimana pun klub dia bermain apakah naturalisasi harus bermain di liga indonesia,negative,50.69%
org indonesia asli tidak laku buat model baju timnas udah diambil semua sama org buleketua pssinya bule modelnya org bule entar lagi juga dijual ini timnas sama org asing dengan embel naturalisasi,negative,99.68%
ini akun yang ngaku pecinta sepakbola indonesia n buat petisi batalkan naturalisasi bgst banget yachga ada relasinya dia gabung suatu club dg keinginan dia menjadi timnas justru biar terbiasa bermain dg pemain asia yang jadi lawan timnas di kualifikasi regional,negative,67.73%
setuju krna si jordi ini mau naturalisasi cuma biar bisa gabung jdt malaysia dan ngincer gaji gede dia bodo amat sama timnas indonesia,negative,99.52%
tp indonesia secara timnas berkembang berani ambil pelatih luar luis milla shin tae yong lalu ada naturalisasi buktinya nyata lolos ke piala asia tapi ya kalo mau lebih maksimal lagi memang harus ditingkatin liga nya klubnya harus mulai dibenahi terutama soal fasilitas,positive,77.83%
gara gara akun bola so paling nasionalis yang mikir cuma dari satu sisi doang berujung anggota dpr yang tidak ada kontribusinya buat timnas indonesia malah bahas bahas naturalisasi indonesia dan so tau makanya gua gedeg banget dah ini kasus,negative,98.73%
semua pemain naturalisasi dari bachdim sampai lilipaly juga akhirnya main di liga indonesia amp semua kembali ke skill amp performa sbg dasar pilihan pelatih apakah layak masuk timnas atau tidak bukan berdasarkan dia main di liga mana,positive,64.06%
karena tidak bisa tidur jadilah tulisan ini pengamat sepakbola naturalisasi jordi amat fans timnas malaysia amp indonesia silahkan dibaca,neutral,96.01%
indra sjafri soal jordi amat saya sudah pernah bilang tapi semua menyalahkan saya,negative,73.32%
orang main di klub malaysia menginjak injak harga diri indonesia yang diinjek bagian mananya orang yang naturalisasi juga ngarti tujuan naturalisasi istimewa supaya main di timnas bukan supaya bs atur atur pemain naturalisasi main di klub mana kamu nya kampungan bos,negative,98.25%
naturalisasi itu untuk kepentingan timnas tidak akan mengubah fakta jordi mainnya untuk timnas indonesia dia main ke jdt sebagai pemain asean ya itu hak warga negara indonesia masa wni tapi tidak dianggap pemain asean tolol amat kamu pada,negative,99.72%
jordi amat salah satu calon pemain naturalisasi timnas indonesia tengah jadi buah bibir pemberitaan di media,neutral,98.95%
sebenarnya yang buat publik indonesia marah ini karena tujuan naturalisasi adalah agar timnas memiliki pemain yang menjadi starter di eropa dan shin tae yong memproyeksikan amat akan bertahan di eropa dan jordi amat sendiri pernah menepis rumor dia ke jdt,neutral,50.47%
mungkin kalo menurut opini saya waktu nya yang kurang saat dlm proses naturalisasi untuk jadi wni sebelum nya masih bermain di eropa tiba bermain di asean di malaysia bakal ada pro amp kontra tentu nya tetapi untuk bermain di timnas indonesia sepenuhnya tanggung jawab coach shin tae yong,negative,66.62%
lah bukan berarti takut sama malaysia lah bukan itu pointnya tapi pointnya adalah naturalisasi jordi amat lebih menguntungkan pemain malaysia karena pemain malaysia di jdt lebih beruntung karena sering latihan dan bermain dengan jordi amat ketimbang pemain timnas indonesia,positive,99.17%
timnas indonesia diyakini bakal rugi besar jika tak naturalisasi jordi amat benar gak sih,negative,97.57%
pemain naturalisasi timnas indonesia jordi amat bergabung dengan klub kaya raya malaysia johor darul tazim jdt,neutral,99.38%
sejak kapan tujuan naturalisasi untuk menaikkaan level permainan sepakbola indonesia goblok intinya dia naturalisasi biar bisa main di level timnas karena ketertarikan memang dari timnas duluan bukan jordi yagn ngemis gausah bawa perasaan profesional dikit otak dipake,negative,97.46%
bukan itu pointnya bung momentnya kurang saat semua orang jadi mikir kalau jordi mau dapet paspor indonesia buat main di jdt alias demi cuan itu sudah tidak bisa disebut naturalisasi untuk kepentingan timnas tetapi kepentingan pribadi dan klub,negative,93.65%
anggota komite eksekutif exco pssi hasani abdulgani tidak dapat memenuhi tuntutan netizen untuk menyetop proses naturalisasi jordi amat kecuali diminta oleh pelatih timnas indonesia shin tae yong selengkapnya di sini,neutral,98.25%
ya naturalisasi emang buat kepentingan timnas bang salahnya dimana kalo dia mau main di jdt kalo udah di naturalisasi harus banget main di liga indonesia gitu oh iya pikir yang smart ya,positive,92.78%
aku sangat berharap banyak naturalisasi bakat bakat dunia membantu timnas namun kalau proyek ini dimanfaatkan pihak pihak yang punya kepentingan pribadi aku akan menentangnya pesanku jangan coba coba bermain dengan proyek yang didoakan rakyat indonesia,negative,98.52%
jdt pastikan rekrut calon pemain naturalisasi timnas indonesia jordi amat,neutral,99.72%
timnas indonesia diyakni bakal rugi besar jika tak naturalisasi jordi amat benar gak sih,negative,98.74%
klub malaysia johor darul tazim mengklaim telah mendapatkan calon pemain naturalisasi timnas indonesia jordi amat,neutral,99.65%
jdt pastikan rekrut calon pemain naturalisasi timnas indonesia jordi amat,neutral,99.72%
gamungkin lagi bg soalnya ibaratnya semua komponen pssi seperti ibul juga harapin pemain naturalisasi siap cepat jadi dpr juga pastinya tidak terlalu peduli lagi kalau doi main di liga asean kecuali dpr sangat peduli dengan timnas indonesia ya bs saja jordi amat doang yang d batalin,negative,96.84%
putra mahkota johor sekaligus bos dari klub kaya raya malaysia tunku ismail idris alias tmj memastikan bahwa calon pemain naturalisasi timnas indonesia jordi amat akan bergabung dengan jdt musim ini,neutral,97.80%
salah moment jordi cuma manfaatin paspor indonesia buat kepentingan pribadi ini buat orang yang anti pemain keturunan menjadi semakin getol klaim kalau proyek naturalisasi tidak murni buat kepentingan timnas,negative,99.35%
putra mahkota johor juga bos dari johor darul tazim jdt tunku ismail idris alias tmj memastikan jordi amat akan bergabung dengan timnya pada musim ini dan masih menunggu pemerintah indonesia untuk memberikan paspor bagi calon pemain naturalisasi timnas indonesia tersebut,neutral,97.19%
jadi gini ya netijen yang maha budiman kan situ ngomong gini dampak timnas kebanyakan pemain naturalisasi inget di masa lalu itu yang suka naturalisasi itu klub bukan buat nambah kuota pemain asing timnas sekarang baru elkan itu pun dia milih jadi warga negara indonesia bukan,negative,98.93%
lalu kemudian misalnya bagaimana jika ada pemain homegrown di liga inggris yang ingin bermain untuk timnas indonesia dan tidak punya passpor indonesia sehingga harus melalui proses naturalisasi tetapi tidak bisa diproses atau tidak disetujui oleh federasi dan pemerintah,neutral,60.52%
jordi amat kami berharap pemain naturalisasi yang dibawa shin tae yong untuk timnas indonesia bermain di eropa setidaknya tahun lagi dengan harapan tak hanya menaikkan mental dan pengalaman tetapi juga untuk menaikkan level timnas perbedaan pola pikir bermain dieropa,positive,54.96%
nah iya bener bakal mirip gini kejadiannya haha padahal keturunan punya darah indonesia dan berhak membela negara wkwk ada juga lho pemain liga yang menolak program naturalisasi yang padahal bisa menguatkan timnas haha,negative,97.10%
breaking calon pemain naturalisasi indonesia jordi amat cb sepakat bergabung dengan jdt secara free transfer selain amat jdt juga akan membawa pemain timnas malaysia dion cools cb rb setelah kontraknya berakhir bersama midtjylland,neutral,98.83%
maldini yang lain jadi pemain naturalisasi sempat main di timnas u indonesia,neutral,99.61%
dari satu laga gitu bikin saja timnas indonesia pakai full naturalisasi,neutral,75.52%
prediksi susunan pemain timnas indonesia di fifa matchday pemain naturalisasi bisa main,neutral,99.55%
shin tae yong pegang nasib calon pemain naturalisasi timnas u indonesia,neutral,99.74%
shin tae yong pegang nasib calon pemain naturalisasi timnas u indonesia,neutral,99.74%
kami selalu pencinta bola kususnya timnas indonesia mohon semua para pemain yang di rekomendasikan shin tae yong yang di naturalisasi kan cepat di selesaikan baik yang senior junior biar keinginan kami terlaksana ingin timnas indonesia senior junior jadi juara dan ber prestasi,positive,96.68%
berikut pemain naturalisasi yang siap bantu timnas indonesia jadi bintang asia,neutral,96.99%
marc klok resmi bertransformasi dari nomor punggung menjadi di persib bandung pemain naturalisasi timnas indonesia itu siap mengemban nomor tersebut,neutral,98.11%
pemain naturalisasi yang siap bantu timnas indonesia jadi bintang asia nomor pernah main di liga spanyol,neutral,87.73%
marc klok resmi bertransformasi dari nomor punggung menjadi di persib bandung pemain naturalisasi timnas indonesia itu siap mengemban nomor tersebut,neutral,98.11%
lawan saja tim naturalisasi kan tim naturalisasi indonesia bisa buat timnas satu lagi,negative,72.72%
calon pemain naturalisasi timnas indonesia nihhh,neutral,51.03%
jordi amatsandi wals dan shayne patiyama beresin dulu naturalisasi supaya cepat bisa bela timnas indonesia,neutral,98.56%
jangan terlalu sombong komentar nya yang sopan dan santun dan jangan menyinggung atau meremehkan timnas indonesia karena timnas indonesia jadi kebanggaan rakyat indonesia klw tidak mau anak nya emil audero di naturalisasi oleh pssijawab dengan komentar sopan dan santun,positive,75.36%
eksklusif perbedaan pemain naturalisasi dengan lokal timnas indonesia di mata shin tae yong,neutral,99.00%
banyak warga keturunan indonesia yang berlaga di eropa yang ingin bela timnas indonesia di piala dunia u klw bisa secepatnya di naturalisasi menjadi wni,neutral,94.96%
timnas senior indonesia lolos di kualifikasi piala asia yang sudah lama di tunggu oleh rakyat indonesia tampil di piala asia terwujud berkat dukungan pemerintah pak jokowi tlng percepat naturalisasi jordi amatsandi wals dn shayne patiyama spy bs bela timnas indonesia,neutral,60.77%
ada yang masih ingat dengan jhonny van beukering ya dia adalah mantan pemain naturalisasi timnas indonesia lama tak terdengar beukering kini menjadi perbincangan terkait pengakuannya saat ini yang bekerja sebagai satpam di klub striptis,neutral,56.31%
gapapa nanti mail kita naturalisasi buat jadi timnas sepak bola indonesia,negative,39.22%
sejumlah pemain timnas u menjalani pemusatan latihan di stadion madya senayan dalam latihan ini turut hadir pemain naturalisasi baru yaitu kai davy boham jim croque dan max christoffel yang ikut berlatih bersama timnas indonesia u aldhi chandra,neutral,98.77%
pemain naturalisasi yang punya caps terbanyak di timnas indonesia,neutral,74.38%
perkuat timnas indonesia pemain naturalisasi akan selekasnya berstatus wni,neutral,99.79%
profil jhony van beukering mantan pemain naturalisasi timnas indonesia yang jadi satpam kelab striptis,neutral,99.56%
kai boham bek tengah almere calon naturalisasi timnas u,neutral,99.47%
shin tae yong targetkan timnas u indonesia juara piala aff u tanpa tiga calon naturalisasi via,neutral,99.73%
kai boham ingin tularkan gaya main eropa di timnas indonesia u pemain naturalisasi tambahlagi,neutral,89.48%
perkuat timnas indonesia pemain naturalisasi akan selekasnya berstatus wni,neutral,99.79%
mantan naturalisasi timnas indonesia jhonny van beukering jadi satpam kelab striptis di belanda,neutral,99.27%
miris eks naturalisasi timnas indonesia bangkrut kini jadi satpam kelab striptis,negative,93.68%
van beukering bersama toni cussel dan raphael maitimo merupakan pemain naturalisasi yang membela timnas indonesia di piala aff,neutral,96.90%
mantan pemain naturalisasi timnas indonesia jhonny van beukering tengah terlilit masalah keuangan dan kini bekerja sebagai satpam di klub striptis,neutral,99.50%
mantan striker naturalisasi timnas indonesia jhonny van beukering sekarang banting setir jadi satpam sebuah klub malam pertunjukan tarian dewasastriptis de nacht tilburg belanda profesi tersebut harus dijalankan beukering demi menghidupi keluarganya,neutral,98.33%
masih ingat striker naturalisasi timnas indonesia jhonny van beukering nasibnya kini miris sekali karena bekerja sebagai penjaga keamanan klub striptis,negative,94.38%
duh eks naturalisasi timnas indonesia bangkrut kini jadi satpam di klub striptis ditilburg,neutral,50.17%
pemain anyar naturalisasi timnas indonesia u tiba di tanahair,neutral,99.70%
masih ingat striker naturalisasi timnas indonesia jhonny van beukering nasibnya kini miris sekali karena bekerja sebagai penjaga keamanan klub striptis,negative,94.38%
usai pensiun dari sepakbola pemain naturalisasi jhonny van beukering bekerja serabutan mulai petugas keamanan hingga penjaga pintu sebuah klub striptis di tilburg belanda mantan peman timnas indonesia itu mengalami masalah finansial sebuah utas,neutral,94.20%
timnas malaysia segera punya gelandang naturalisasi yang ganas timnas indonesia angkut thom haye,neutral,99.46%
timnas kelompok umur iya u sudah beberapa kali tapi tidak pernah perkuat timnas senior italia artinya eligible buat perkuat indonesia melalui naturalisasi,neutral,86.05%
bukan naturalisasi tetapi memang mempunyai keturunan indonesia dan elkan memilih menjadi wni ngomong-ngomong doi masih muda juga jadi untuk di timnas bisa main jangka panjang,positive,93.36%
pemain naturalisasi gabung timnas indonesia shin tae yong kita makin kuat di piala asia,positive,68.23%
tdk bisa kak aturan indo sndri kalau sudah pernah jadi timnas atau bela negara di ajang internasional gbisa naturalisasi dan bermain atas nama indonesia di ajang internasional beda cerita kalau dia mau naturalisasi tapi bukan mau jadi pemain,negative,98.14%
timnas indonesia lolos piala asia catatan redaksi shin tae yong butuh tambahan pemain naturalisasi,neutral,99.66%
apakah tidak menawarkan untuk di naturalisasi mengingat timnas indonesia butuh striker yang tajam sampai hari ini lini depan timnas sangat tumpul,negative,99.17%
berita bola terkini nova indonesia klik amunisi pemain naturalisasi buat timnas indonesia lebih kuat di piala asia,neutral,98.81%
amunisi pemain naturalisasi buat timnas indonesia lebih kuat di piala asia,positive,54.48%
amunisi pemain naturalisasi buat timnas indonesia lebih kuat di piala asia,positive,54.48%
pelatih timnas indonesia shin tae yong mengatakan bahwa pemain naturalisasi bakal membuat skuadnya lebih kuat di piala asia,neutral,89.89%
amunisi pemain naturalisasi buat timnas indonesia lebih kuat di piala asia,positive,54.48%
di piala asia timnas indonesia kemungkinan besar dapat diperkuat para pemain naturalisasi seperti jordi amat sandy walsh dan shayne,neutral,94.13%
pemain naturalisasi gabung timnas indonesia shin tae yong kita makin kuat di piala asia,positive,68.23%
profil pemain naturalisasi yang makin perkuat timnas indonesia di piala asia,neutral,98.41%
profil pemain naturalisasi yang makin perkuat timnas indonesia di piala asia lewat coid,neutral,99.25%
sbenarnya posisi kiper cukup pake liga lokal tidak ada masalah kiper di indonesia tapi yang jadi perhatian di timnas kita itu kan posisi selain kiper makanya perlu ada yang abroad dan naturalisasi,positive,75.56%
lolos ke piala asia shin tae yong sebut pemain naturalisasi bakal bikin timnas indonesia lebih kuat,neutral,97.72%
pemain naturalisasi ditargetkan bela timnas indonesia di piala asia,neutral,99.52%
shin tae yong sebut syarat masuk timnas indonesia calon pemain naturalisasi harus punya komitmenini,neutral,99.48%
shin tae yong sebut syarat masuk timnas indonesia calon pemain naturalisasi harus punya komitmenini,neutral,99.48%
ingin bawa timnas indonesia juarai piala asia shin tae yong sarankan pakai pemain naturalisasi via,neutral,99.78%
gw mikir ni orang yang naturalisasi tidak mikirin kalo pke passport indonesia kemana jadi ribet harus ngurus visa cuma buat main timnas yang paling lama tahun,negative,97.30%
